BEAM_SIZE,DATA-SPLIT,BLEU-1,BLEU-2,BLEU-3,BLEU-4,BLEU-5
1.0,VALIDATION,0.6555103743092483,0.45823909643641036,0.3146356238420486,0.21341956083280467,0.141502999376618
3.0,VALIDATION,0.6533309010214294,0.46494543254280757,0.3241799313293769,0.21898011895402283,0.1444379451627195
5.0,VALIDATION,0.6438614551843063,0.45896792204374726,0.3183977035902492,0.2143226401171454,0.14418969998329578
7.0,VALIDATION,0.6360521519058677,0.45214708631429584,0.31222841497796944,0.21003263396615743,0.1416059187147341
1.0,TEST,0.6607731310713668,0.4691698988226121,0.3252321544213232,0.2228572314749791,0.15204425518591336
3.0,TEST,0.6693392731461103,0.48521642776076684,0.34132057893434675,0.2343124519265395,0.15937789317985235
5.0,TEST,0.6572655266017218,0.4740613926430004,0.33099690405853144,0.2261499298728801,0.15331809481009886
7.0,TEST,0.6478541490812817,0.4680317669494729,0.3267897476960035,0.22395717889947467,0.15208392532593557
