BEAM_SIZE,DATA-SPLIT,BLEU-1,BLEU-2,BLEU-3,BLEU-4,BLEU-5
1.0,VALIDATION,0.7375618162201988,0.563143001196389,0.41393693508090934,0.30079070150724146,0.21633508982673336
3.0,VALIDATION,0.7366924766000961,0.5655492856717654,0.4228298601534623,0.314249378399268,0.23457799922699143
5.0,VALIDATION,0.7321617928281685,0.5629794059163853,0.42246325190727485,0.31559401313929347,0.23764610567189928
7.0,VALIDATION,0.7282117217899833,0.5589271640091732,0.41986726690061793,0.314861462971425,0.2383893377345454
1.0,TEST,0.7322294210405567,0.5580423959797213,0.4089645928893777,0.29684162858699153,0.21407377369898345
3.0,TEST,0.7355793565993348,0.5624864772393997,0.41974692992094703,0.31203137438074013,0.23237958764501568
5.0,TEST,0.726889481595616,0.5531150054498013,0.41234815476331904,0.306340310326265,0.22813184366656072
7.0,TEST,0.7239168615524806,0.5508422197112048,0.4113040153454627,0.3063731277653904,0.22969393135098062
