BEAM_SIZE,DATA-SPLIT,BLEU-1,BLEU-2,BLEU-3,BLEU-4,BLEU-5
1.0,VALIDATION,0.7363971658261477,0.5664196833506556,0.4182729090925791,0.30409543202206807,0.21891781035924637
3.0,VALIDATION,0.7441741769105922,0.5777024957759719,0.4369357474606644,0.326742480768319,0.2433308190005863
5.0,VALIDATION,0.735930788419849,0.5700856210521409,0.43217665815429623,0.3247325427783087,0.24385895480575287
7.0,VALIDATION,0.7312828075658411,0.5649455633474433,0.4268167452764208,0.3203465540964955,0.24060905067463614
1.0,TEST,0.7323927907960528,0.5613054258252101,0.4127419803841808,0.2989496545122374,0.21441609765888647
3.0,TEST,0.7400857916534418,0.5751982496238041,0.4367351724385686,0.32812209642794793,0.24644327625235107
5.0,TEST,0.7328317286354075,0.5662753090003053,0.4281556277949943,0.32047330622913217,0.23961523065210974
7.0,TEST,0.727995242212291,0.5606200831176232,0.4224487283709963,0.3157177044161722,0.23659000053841833
