BEAM_SIZE,DATA-SPLIT,BLEU-1,BLEU-2,BLEU-3,BLEU-4,BLEU-5
1.0,VALIDATION,0.6650392697940989,0.47787594637026354,0.3355592793194128,0.23124291307684902,0.15804295665119023
3.0,VALIDATION,0.6694943888833063,0.48745607046402745,0.3478906404926447,0.24264997299747712,0.16786193398615984
5.0,VALIDATION,0.6608108216845051,0.4797634096364687,0.3405951204395315,0.2354116253933028,0.16143103001703718
7.0,VALIDATION,0.6540899946702787,0.47636580843487786,0.3376447422872754,0.23268061158608472,0.1585315694521557
1.0,TEST,0.6688314751110185,0.4763476274718759,0.32890868297542647,0.2242704714288324,0.15360231124115595
3.0,TEST,0.6873230669612108,0.5015822147382291,0.3595554174824682,0.2521065893411925,0.17825430022787248
5.0,TEST,0.6812216397262526,0.4992832439391928,0.3564205519440786,0.24574676047331911,0.169686782656454
7.0,TEST,0.6725733590041976,0.4928137595095013,0.3525811780354299,0.24289739073419264,0.168732092420317
