BEAM_SIZE,DATA-SPLIT,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE-L,CIDEr,SPICE
1.0,VALID,0.6573967590171816,0.45934338406882674,0.3151274863380445,0.21339210404257986,0.20817237882810666,0.4674201607109071,0.5351057072247005,0.1447980828842633
3.0,VALID,0.6530873000520538,0.46478485174064305,0.3246349486884691,0.21957537768073565,0.20499765291251829,0.46872520536028506,0.541302462256573,0.14994986837671323
5.0,VALID,0.643148258367846,0.4582130949366797,0.31761664084227853,0.21377369550724,0.19994919119714372,0.46288821176794126,0.5365334361159935,0.14852672466851832
7.0,VALID,0.6363504810794728,0.45286020424140144,0.31330072257855346,0.2112592626202877,0.19822782520267546,0.45897969302209407,0.5357609911484404,0.14617968815518617
1.0,TEST,0.6600335075389316,0.4686827483119172,0.3247006031248098,0.22220656384819726,0.2147467410252475,0.48119765574140216,0.5677009697910467,0.14928084997334717
3.0,TEST,0.6700151780528529,0.4858018336807428,0.3416608156642051,0.2347577688754613,0.21463741065220515,0.481686952083969,0.5963282719764891,0.15609928528304085
5.0,TEST,0.6573427223527196,0.47429339853982583,0.3316731192506472,0.22715238804547117,0.20863422573596807,0.47552881120565793,0.5798521093917282,0.15370122583208115
7.0,TEST,0.6490487186435265,0.4683279723102346,0.32625088895807436,0.22306230426265683,0.20721216670898174,0.4705192065343663,0.5736574371848674,0.15150920676228008
